Obs,Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20
6.008891785,3.8404026,4.0309186,3.5859728,4.8494496,3.8847578,4.354666,3.6643562,4.155621,4.1815367,5.3219643,4.0314846,4.124672,5.113962,6.5504518,4.254656,3.6267629,3.0147343,4.207322,4.557341,3.875695
5.384712329,3.615271,3.7350793,3.4598377,4.7976694,3.8621216,4.2234054,3.6234112,4.0756874,4.2153745,5.3104544,4.0706415,3.9576116,5.020079,6.145671,4.169863,3.5963972,3.0084147,4.2149053,4.5294466,3.7912958
5.170441769,3.4730327,3.4540074,3.4852946,4.6305895,3.818181,4.0249276,3.5243158,3.9568033,4.194057,5.2717896,4.070969,3.844711,4.8940806,5.7311716,3.972318,3.5444138,2.9933753,4.1881747,4.432209,3.7051737
5.151809546,3.4746187,3.3788428,3.5006812,4.4791327,3.829934,3.9264977,3.448654,3.8771706,4.161043,5.245795,4.0732107,3.8956642,4.7918983,5.4221725,3.8232582,3.5132537,2.982217,4.171388,4.4114785,3.7049646
4.779165094,3.4046388,3.290163,3.365249,4.35303,3.8315237,3.861274,3.3937178,3.8224545,4.1280556,5.2217884,4.0798216,3.8954744,4.7042875,5.157427,3.7152083,3.495055,2.9764123,4.1627398,4.403166,3.6855693
4.60215898,3.2643983,3.1201262,3.2418833,4.208801,3.8002617,3.7550578,3.3265998,3.7551901,4.0829434,5.188075,4.0776463,3.8113747,4.6063995,4.8655796,3.5872953,3.469429,2.9707067,4.1464367,4.355418,3.6259663
4.481049533,3.1131866,2.875242,3.154085,4.0025234,3.7326076,3.5816863,3.2208145,3.6488016,4.002372,5.1369944,4.047953,3.7044866,4.481454,4.5618114,3.3923793,3.4253166,2.9553857,4.104702,4.2378345,3.5374177
4.304043418,2.9908075,2.664145,3.0819528,3.7625062,3.6669939,3.3955615,3.095883,3.5211484,3.8937676,5.087153,3.9988928,3.607423,4.343804,4.273779,3.1704657,3.3699875,2.9311366,4.0488834,4.106308,3.4577696
4.164301749,2.890072,2.487815,3.0122137,3.5191855,3.6045966,3.2231202,2.9688766,3.3891704,3.769187,5.026838,3.9401643,3.5214572,4.205077,4.00338,2.9546237,3.310841,2.900973,3.9885263,3.9801056,3.3875372
3.977979523,2.8052192,2.3395443,2.9443982,3.289488,3.5451047,3.0693548,2.8475482,3.2609124,3.6370888,4.9605703,3.8770876,3.443183,4.070255,3.7532952,2.7586164,3.2517807,2.8670661,3.9275753,3.8615112,3.3247502
